user_id,hidden_mov,base_mov,mov,skip,change,reward,satisfaction_score
1,"[ 0.31990512  0.31990512  0.31990512  0.31990512  0.31990512  0.31990512
  0.31990512  0.31990512  0.31990512  0.31990512  0.31990512 -1.04966439
 -1.04966439 -1.04966439 -1.04966439 -1.04966439 -1.04966439 -1.04966439
 -1.04966439 -1.04966439 -1.04966439 -0.02544949 -1.65696466 -0.02544949
 -0.02544949 -0.02544949 -0.02544949 -0.02544949 -0.02544949 -0.02544949
 -0.02544949 -0.02544949 -0.02544949 -0.06249386 -0.06249386 -0.06249386
 -0.06249386 -0.06249386 -0.06249386 -1.05422008 -1.05422008 -1.05422008
 -1.05422008  1.10675352  1.10675352  1.10675352  1.10675352  1.10675352
  1.10675352  1.10675352  1.10675352  0.55111173  0.55111173  0.55111173
  0.55111173  0.55111173  0.55111173  0.55111173  0.55111173  0.55111173
  0.69630525  0.69630525  0.69630525  0.69630525  0.69630525  0.69630525
  0.69630525  0.69630525  0.69630525  0.69630525  0.69630525  0.69630525
  0.69630525  0.69630525  0.69630525  0.69630525  0.69630525 -0.77951107
 -0.77951107 -0.77951107 -0.77951107 -0.77951107 -0.77951107 -0.77951107
 -0.77951107 -0.77951107 -0.77951107 -0.77951107 -0.77951107 -0.46843524
 -0.46843524 -0.46843524 -0.46843524 -0.46843524 -0.46843524 -0.46843524
 -0.46843524 -0.46843524 -0.46843524 -0.46843524]",4,0,0,0,-0.5,0.0
1,"[-1.3130289  -1.3130289  -1.3130289  -1.3130289  -1.3130289  -1.3130289
 -1.3130289  -1.3130289  -1.3130289  -1.3130289  -1.3130289   0.39058863
  0.39058863  0.39058863  0.39058863  0.39058863  0.39058863  0.39058863
  0.39058863  0.39058863  0.39058863  2.17749505  2.17749505  2.17749505
  2.17749505  2.17749505  2.17749505 -1.32282796 -1.77265307  2.17749505
  2.17749505  2.17749505  2.17749505  0.4876168   0.4876168   0.4876168
  0.4876168   0.4876168   0.4876168   1.39765567  1.39765567  1.39765567
  1.39765567 -0.37322167 -1.1923549  -0.37322167 -0.37322167 -0.37322167
 -0.37322167 -0.37322167 -0.37322167 -1.19453064 -1.19453064 -1.78690374
 -1.19453064 -1.19453064 -1.19453064 -1.19453064 -1.19453064 -1.19453064
  0.82138317  0.82138317  0.82138317  0.82138317  0.82138317  0.82138317
  0.82138317  0.82138317  0.82138317  0.82138317  0.82138317  0.82138317
  0.82138317  0.82138317  0.82138317  0.82138317  0.82138317  0.22066646
  0.22066646  0.22066646  0.22066646  0.22066646  0.22066646  0.22066646
  0.22066646  0.22066646  0.22066646  0.22066646  0.22066646 -1.16973731
 -1.16973731 -1.16973731 -1.16973731 -1.16973731 -1.16973731 -1.16973731
 -1.16973731 -1.16973731 -1.16973731 -1.16973731]",4,0,0,0,-4.862020743664039,0.0
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",0,93,0,1,-2.1102888230559556,0.0
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",2,82,0,0,-2.6211167273423985,0.0
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",7,14,0,0,4.34,0.7
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",9,26,0,1,-2.1525601697975287,0.0
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",6,54,0,0,2.6,0.7
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",1,63,0,0,2.72,0.5
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",3,34,0,0,5.16,0.9
1,"[ 1.7308157   1.7308157   1.7308157   1.7308157   1.7308157   1.7308157
  1.7308157   1.7308157   1.7308157   1.7308157   1.7308157  -0.20780677
 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677 -0.20780677
 -0.20780677 -0.20780677 -0.20780677  0.91281924  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924 -1.53874464  0.91281924  0.91281924
  0.91281924  0.91281924  0.91281924  1.41244702  1.41244702  1.41244702
  1.41244702  1.41244702  1.41244702  1.25051273  1.25051273  1.25051273
  1.25051273  0.73633108  0.73633108  0.73633108  0.73633108  0.73633108
  0.73633108  0.73633108  0.73633108 -0.40453566 -0.40453566 -0.40453566
 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566 -0.40453566
 -0.42231408 -1.69576214 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408
 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -0.42231408 -1.62111673
 -1.57097667 -1.62111673 -1.62111673 -1.62111673 -1.62111673 -1.62111673
 -1.62111673 -1.62111673 -1.5889112  -1.62111673 -1.62111673  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811  1.10065811
  1.10065811  1.10065811  1.10065811  1.10065811]",5,41,0,0,5.14,0.9
